"Wavelength","dog_S","dog_L"
590,1.10017001681664e-05,0.73060320806706
591,1.00988960620937e-05,0.716658951942329
592,9.27279858989276e-06,0.702556131767042
593,8.51667567883664e-06,0.688314472962153
594,7.82440417142284e-06,0.673953674944887
595,7.19041319137578e-06,0.659493338361889
596,6.60963291331903e-06,0.644952894774634
597,6.077448208557e-06,0.630351539370389
598,5.58965669195143e-06,0.615708167219097
599,5.142430742103e-06,0.601041313537164
600,4.73228310949834e-06,0.586369098354586
601,4.35603576544847e-06,0.571709175913448
602,4.01079167895932e-06,0.557078689055077
603,3.69390923954048e-06,0.542494228781103
604,3.4029790717161e-06,0.527971799102031
605,3.13580301198009e-06,0.513526787216501
606,2.89037504141014e-06,0.499173938996578
607,2.66486398738312e-06,0.484927339690076
608,2.45759782604232e-06,0.470800399690831
609,2.26704943356306e-06,0.456805845172913
610,2.09182364902632e-06,0.442955713335372
611,1.93064552501207e-06,0.429261351960866
612,1.78234965400516e-06,0.415733422954524
613,1.64587046950685e-06,0.402381909499086
614,1.52023343047798e-06,0.389216126438559
615,1.4045470065169e-06,0.376244733485487
616,1.29799538908829e-06,0.363475750836309
617,1.19983186125914e-06,0.350916576774949
618,1.10937276483822e-06,0.338574006846628
619,1.02599200962822e-06,0.326454254191551
620,9.49116074746677e-07,0.314562970641368
621,8.78219456708911e-07,0.302905268199743
622,8.12820523244639e-07,0.291485740551732
623,7.52477735684676e-07,0.280308484274421
624,6.96786206246036e-07,0.269377119453191
625,6.45374559699815e-07,0.258694809443409
